	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	method
BRB-seq_3	21.20806971725149	33.571165494332625	-22.99945222550307	0.42932849137510043	3.6989077341410126	8.949597497700159	-6.897058971862144	16.416193805954823	11.466770588667105	-0.2762428590072688	BRB-seq
BRB-seq_4	16.85230038283244	33.00906663761722	-22.44024415841451	-1.660460930255252	3.7390646801357854	7.543030749178259	-6.0254824797885345	9.111352288101884	16.086766311032452	-20.247198756594365	BRB-seq
BRB-seq_5	26.056066613300263	35.11183941064862	-22.133220600141488	0.4418704216299324	5.341471361216965	10.936589981391444	7.063054816671264	-2.3343852301971633	-4.689114360710983	20.185725632955382	BRB-seq
BRB-seq_6	21.104001280565225	33.09445338308401	-23.768719836531783	-0.6623795232434112	3.2562415238741824	4.814945939076976	8.513739980189266	-0.16814302397865546	-9.379093531492506	-12.80377690953903	BRB-seq
BRB-seq_7	24.827443901729	33.888194969093924	-22.693150528535398	-0.22139385924123706	2.365914663903812	13.119220786949333	-2.985696109277535	-30.937727148615437	-16.328593810988625	-3.349336482808472	BRB-seq
BRB-seq_8	23.615140507199918	34.56899975573405	-22.761450182379118	0.6105895670431019	-2.035467274246046	-3.6872587112155792	6.125638059872517	-3.0117381533810907	5.909770544122384	10.463338195138348	BRB-seq
TruSeq_1	-4.3847350332999095	-37.36820946080977	-10.938355800238758	13.326995938816376	-23.79277336077736	13.471663955172223	2.584557873616346	-1.3904724469916696	-4.212317404789609	0.5702224615057766	TruSeq
TruSeq_2	-3.281156560709799	-38.000653245849826	-12.527674914329937	14.137292875686022	-22.995308051930326	12.88925041857534	2.968692667422973	1.2392545094856655	2.173751200450833	-3.705469417789562	TruSeq
TruSeq_3	-2.478345735776748	-38.012238049224926	-11.813630637162264	11.924993628865462	-20.33469306197375	9.820794644711482	2.57157005555133	6.178702767365971	2.022661286006904	6.932595442260223	TruSeq
TruSeq_4	-20.657004796326568	-41.153093882146436	-14.152451512627731	-36.6688957324971	3.8143754531982257	1.7048222793312928	-3.345101141496124	4.667201613799008	-0.752079108558703	5.720084977899665	TruSeq
TruSeq_5	-16.263378407808304	-40.54770274890813	-14.657616002195791	-35.734375708179215	5.955266469270584	-0.8269969790561069	3.4540435236490454	-4.478293083773449	-0.48632562140562935	-4.018272818288499	TruSeq
TruSeq_6	-13.565767952582732	-40.39607799301286	-14.819709934580825	-34.808898350150116	7.087808902825914	-1.2005016182574317	1.2287327173394849	-3.311888673957846	2.2747858890841464	0.027135720262949713	TruSeq
TruSeq_7	8.066663893364955	-34.95268823515488	-6.378099173102024	20.940519124345272	14.097743032372113	-8.895014184222077	0.48236930918834164	0.7057506427830141	1.7294781084373976	1.3787747842311473	TruSeq
TruSeq_8	7.477901670232892	-34.06871858846827	-7.20367069207014	20.828734039280537	14.634483379725383	-8.036057009558299	2.1096933101626383	1.8392692512433402	-4.818520993567001	0.011946171430046747	TruSeq
TruSeq_9	9.792857342446894	-34.52597493636375	-6.925484024528048	21.961459077630305	14.66512053585006	-9.687054784899459	-3.485232119071735	-1.668875551580373	0.5863573262051257	0.3813685952926653	TruSeq
TruSeq_10	10.930325869355087	-33.95352968771134	-6.055406341872784	21.398350025897233	17.319316420418502	-6.447905790980864	-3.0439634411848853	-5.266285395998277	0.7252792587885244	-3.64985547915032	TruSeq
